congestion_control, loss_rate, goodput_Mbps, rtt_ms, bandwidth_Mbps, specified_bw_Mbps
cubic, 1e-05, 100.1, 2, 100.27, 100
cubic, 1e-05, 100.07, 10, 100.27, 100
cubic, 1e-05, 99.35, 100, 100.27, 100
cubic, 1e-05, 76.15, 200, 100.27, 100
cubic, 1e-05, 45.33, 500, 100.27, 100
cubic, 0.0001, 100.02, 2, 100.27, 100
cubic, 0.0001, 91.75, 10, 100.27, 100
cubic, 0.0001, 28.73, 100, 100.27, 100
cubic, 0.0001, 22.51, 200, 100.27, 100
cubic, 0.0001, 14.95, 500, 100.27, 100
cubic, 0.001, 75.1, 2, 100.27, 100
